,city_pol,month,value,color_cats
279,Indianapolis SO2,4,0.2416193552836782,other
280,Indianapolis SO2,5,0.5365004828358404,other
281,Indianapolis SO2,6,0.7063331497287657,other
282,Indianapolis SO2,7,0.22442577974445357,other
283,Indianapolis SO2,8,0.7340655616703745,other
284,Indianapolis SO2,9,0.4636145245117299,other
285,Indianapolis SO2,10,2.174995465469801,other
286,Indianapolis SO2,11,1.7328364681226571,other
287,Indianapolis SO2,12,2.9333904455120443,other
288,Long Beach SO2,1,-0.3606628928498063,other
289,Long Beach SO2,2,-0.24494914071541285,other
290,Long Beach SO2,3,-0.8123283228180385,other
291,Long Beach SO2,4,-0.9739369684703041,other
292,Long Beach SO2,5,-0.9402008296183301,other
293,Long Beach SO2,6,-0.9240146098400724,other
294,Long Beach SO2,7,-0.6601970446311966,other
295,Long Beach SO2,8,-0.6057176004156383,other
296,Long Beach SO2,9,-0.4131070672625946,other
297,Long Beach SO2,10,-0.4938489245431101,other
298,Long Beach SO2,11,-0.4524076474608622,other
299,Long Beach SO2,12,-0.39028204560990715,other
300,Vandenberg Air Force Base SO2,1,-0.715087654463476,other
301,Vandenberg Air Force Base SO2,2,-0.7538840672983831,other
302,Vandenberg Air Force Base SO2,3,-0.7747066688880492,other
303,Vandenberg Air Force Base SO2,4,-0.7625635776742167,other
304,Vandenberg Air Force Base SO2,5,-0.7578488786024802,other
305,Vandenberg Air Force Base SO2,6,-0.7765843252044095,other
306,Vandenberg Air Force Base SO2,7,-0.7841634780726368,other
307,Vandenberg Air Force Base SO2,8,-0.7415088524268565,other
308,Vandenberg Air Force Base SO2,9,-0.8594341969737301,other
309,Vandenberg Air Force Base SO2,10,-0.8046258202647948,other
310,Vandenberg Air Force Base SO2,11,-0.789755330460045,other
311,Vandenberg Air Force Base SO2,12,-0.765661025320183,other
